sample,status,diameter_nm,energy_map,closure,reactive,theta_bri,N_react_umol_g,TOF_s_1,iterations,inventory_residual,charge_residual
R800,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.999993,3.8629e-20,5.20334e+19,10,2.8e-14,0.0e+00
R800,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.999993,1.10061e-40,1.82626e+40,10,2.8e-14,0.0e+00
R1000,VALID,900,LI_CONT_xi0.5,NEUTRAL,BRI,0.999999,13.558,0.00334856,8,4.5e-13,0.0e+00
R1000,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z2,0.999999,1.45959e-11,3.11046e+09,8,4.5e-13,0.0e+00
R1000,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z4,0.999999,1.57133e-23,2.88928e+21,8,4.5e-13,0.0e+00
R1000,INVALID,900,LI_CONT_xi0.5,NEUTRAL,ISO_z8,0.999999,1.82111e-47,2.49298e+45,8,4.5e-13,0.0e+00
A600,VALID,900,LI_CONT_xi1,NEUTRAL,BRI,0.723301,9.80656,0.230458,12,3.6e-15,0.0e+00
A600,VALID,900,LI_CONT_xi1,NEUTRAL,ISO_z2,0.723301,0.750813,3.01007,12,3.6e-15,0.0e+00
A600,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z4,0.723301,0.0574839,39.3153,12,3.6e-15,0.0e+00
A600,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z8,0.723301,0.000336958,6707.06,12,3.6e-15,0.0e+00
R500,VALID,900,LI_CONT_xi1,NEUTRAL,BRI,0.964453,13.0761,0.288312,11,1.4e-14,0.0e+00
R500,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z2,0.964453,0.0165225,228.174,11,1.4e-14,0.0e+00
R500,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z4,0.964453,2.08772e-05,180580,11,1.4e-14,0.0e+00
R500,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z8,0.964453,3.33323e-11,1.13104e+11,11,1.4e-14,0.0e+00
R600,VALID,900,LI_CONT_xi1,NEUTRAL,BRI,0.999305,13.5486,0.289328,11,2.8e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z2,0.999305,6.55e-06,598473,11,2.8e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z4,0.999305,3.16655e-12,1.23794e+12,11,2.8e-14,0.0e+00
R600,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z8,0.999305,7.40079e-25,5.29673e+24,11,2.8e-14,0.0e+00
R800,VALID,900,LI_CONT_xi1,NEUTRAL,BRI,0.999976,13.5577,0.148255,10,3.5e-11,0.0e+00
R800,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z2,0.999976,7.63282e-09,2.63336e+08,10,3.5e-11,0.0e+00
R800,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z4,0.999976,4.29717e-18,4.67749e+17,10,3.5e-11,0.0e+00
R800,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z8,0.999976,1.36201e-36,1.47577e+36,10,3.5e-11,0.0e+00
R1000,VALID,900,LI_CONT_xi1,NEUTRAL,BRI,0.999999,13.558,0.00334857,8,5.6e-12,0.0e+00
R1000,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z2,0.999999,2.2756e-11,1.99508e+09,8,5.6e-12,0.0e+00
R1000,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z4,0.999999,3.81939e-23,1.18867e+21,8,5.6e-12,0.0e+00
R1000,INVALID,900,LI_CONT_xi1,NEUTRAL,ISO_z8,0.999999,1.07595e-46,4.21954e+44,8,5.6e-12,0.0e+00
A600,VALID,900,PAB,LOCAL,BRI,0.0403244,0.546721,4.13374,11,-2.5e-14,2.5e-14
A600,VALID,900,PAB,LOCAL,ISO_z2,0.0403244,0.503517,4.48842,11,-2.5e-14,2.5e-14
A600,VALID,900,PAB,LOCAL,ISO_z4,0.0403244,0.463728,4.87355,11,-2.5e-14,2.5e-14
A600,VALID,900,PAB,LOCAL,ISO_z8,0.0403244,0.393334,5.74576,11,-2.5e-14,2.5e-14
R500,VALID,900,PAB,LOCAL,BRI,0.102503,1.38975,2.71272,10,0.0e+00,1.1e-13
R500,VALID,900,PAB,LOCAL,ISO_z2,0.102503,1.11944,3.36775,10,0.0e+00,1.1e-13
R500,VALID,900,PAB,LOCAL,ISO_z4,0.102503,0.90171,4.18094,10,0.0e+00,1.1e-13
R500,VALID,900,PAB,LOCAL,ISO_z8,0.102503,0.585057,6.44381,10,0.0e+00,1.1e-13
R600,VALID,900,PAB,LOCAL,BRI,0.221594,3.00439,1.30476,9,2.8e-14,8.5e-14
R600,VALID,900,PAB,LOCAL,ISO_z2,0.221594,1.82041,2.15337,9,2.8e-14,8.5e-14
R600,VALID,900,PAB,LOCAL,ISO_z4,0.221594,1.10301,3.55391,9,2.8e-14,8.5e-14
R600,VALID,900,PAB,LOCAL,ISO_z8,0.221594,0.404953,9.68014,9,2.8e-14,8.5e-14
R800,VALID,900,PAB,LOCAL,BRI,0.357693,4.84963,0.414465,8,0.0e+00,5.7e-14
R800,VALID,900,PAB,LOCAL,ISO_z2,0.357693,2.00075,1.00462,8,0.0e+00,5.7e-14
R800,VALID,900,PAB,LOCAL,ISO_z4,0.357693,0.825426,2.43511,8,0.0e+00,5.7e-14
R800,VALID,900,PAB,LOCAL,ISO_z8,0.357693,0.140491,14.307,8,0.0e+00,5.7e-14
R1000,VALID,900,PAB,LOCAL,BRI,0.613463,8.31738,0.00545845,6,-5.2e-11,3.0e-10
R1000,VALID,900,PAB,LOCAL,ISO_z2,0.613463,1.2427,0.0365333,6,-5.2e-11,3.0e-10
R1000,VALID,900,PAB,LOCAL,ISO_z4,0.613463,0.185673,0.244516,6,-5.2e-11,3.0e-10
R1000,INVALID,900,PAB,LOCAL,ISO_z8,0.613463,0.00414487,10.9533,6,-5.2e-11,3.0e-10
A600,VALID,900,HAM,LOCAL,BRI,0.187991,2.54879,0.886695,11,1.2e-14,1.8e-14
A600,VALID,900,HAM,LOCAL,ISO_z2,0.187991,1.68057,1.34478,11,1.2e-14,1.8e-14
A600,VALID,900,HAM,LOCAL,ISO_z4,0.187991,1.1081,2.03953,11,1.2e-14,1.8e-14
A600,VALID,900,HAM,LOCAL,ISO_z8,0.187991,0.48175,4.69123,11,1.2e-14,1.8e-14
R500,VALID,900,HAM,LOCAL,BRI,0.399737,5.41966,0.695616,10,-2.1e-14,5.7e-14
R500,VALID,900,HAM,LOCAL,ISO_z2,0.399737,1.95279,1.93057,10,-2.1e-14,5.7e-14
R500,VALID,900,HAM,LOCAL,ISO_z4,0.399737,0.70362,5.358,10,-2.1e-14,5.7e-14
R500,INVALID,900,HAM,LOCAL,ISO_z8,0.399737,0.0913492,41.2702,10,-2.1e-14,5.7e-14
R600,VALID,900,HAM,LOCAL,BRI,0.640962,8.6902,0.451083,9,4.3e-14,2.8e-14
R600,VALID,900,HAM,LOCAL,ISO_z2,0.640962,1.12024,3.49925,9,4.3e-14,2.8e-14
R600,VALID,900,HAM,LOCAL,ISO_z4,0.640962,0.144409,27.1452,9,4.3e-14,2.8e-14
R600,INVALID,900,HAM,LOCAL,ISO_z8,0.640962,0.0023997,1633.54,9,4.3e-14,2.8e-14
R800,VALID,900,HAM,LOCAL,BRI,0.785398,10.6485,0.188759,8,-2.8e-14,1.1e-13
R800,VALID,900,HAM,LOCAL,ISO_z2,0.785398,0.490405,4.09865,8,-2.8e-14,1.1e-13
R800,INVALID,900,HAM,LOCAL,ISO_z4,0.785398,0.0225852,88.9965,8,-2.8e-14,1.1e-13
R800,INVALID,900,HAM,LOCAL,ISO_z8,0.785398,4.79026e-05,41960.1,8,-2.8e-14,1.1e-13
R1000,VALID,900,HAM,LOCAL,BRI,0.907953,12.3101,0.00368803,6,-5.9e-11,3.5e-10
R1000,INVALID,900,HAM,LOCAL,ISO_z2,0.907953,0.104298,0.43529,6,-5.9e-11,3.5e-10
R1000,INVALID,900,HAM,LOCAL,ISO_z4,0.907953,0.000883676,51.3763,6,-5.9e-11,3.5e-10
R1000,INVALID,900,HAM,LOCAL,ISO_z8,0.907953,6.34344e-08,715700,6,-5.9e-11,3.5e-10
A600,VALID,900,LI_SBR1,LOCAL,BRI,0.251322,3.40744,0.663255,11,-7.1e-15,0.0e+00
A600,VALID,900,LI_SBR1,LOCAL,ISO_z2,0.251322,1.90993,1.18329,11,-7.1e-15,0.0e+00
A600,VALID,900,LI_SBR1,LOCAL,ISO_z4,0.251322,1.07055,2.11106,11,-7.1e-15,0.0e+00
A600,VALID,900,LI_SBR1,LOCAL,ISO_z8,0.251322,0.336348,6.71922,11,-7.1e-15,0.0e+00
R500,VALID,900,LI_SBR1,LOCAL,BRI,0.50151,6.79951,0.554452,10,-1.4e-14,5.0e-14
R500,VALID,900,LI_SBR1,LOCAL,ISO_z2,0.50151,1.68962,2.23127,10,-1.4e-14,5.0e-14
R500,VALID,900,LI_SBR1,LOCAL,ISO_z4,0.50151,0.419858,8.97923,10,-1.4e-14,5.0e-14
