sample,energy_map,cutoff_nm,dG_eV,f110,eps,reactive,theta_bri,reconstructed_fraction,N_bridging_umol_g,N_reconstructed_row_umol_g,N_basal_L1_umol_g,N_L1_subbridging_umol_g,N_subsurface_L2_4_umol_g,N_bulk_umol_g,N_react_umol_g,TOF_s_1,site_class,flags,Q_vs_R600,Q_ref_below_threshold
R1000,PAB,0.28,-0.4,1,107 (c_axis),ISO_z4,0.114122,0.788019,0.247286,4.02647,8.27929e-06,2.03301,0.524031,774.369,0.152303,0.298091,OK,YUAN_STRONG_REDUCTION,0.0399602,
R1000,PAB,0.28,-0.4,1,107 (c_axis),ISO_z8,0.114122,0.788019,0.247286,4.02647,8.27929e-06,2.03301,0.524031,774.369,0.0938026,0.483995,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0460378,
R1000,PAB,0.28,-0.4,1,107 (c_axis),BRI+BASAL,0.114122,0.788019,0.247286,4.02647,8.27929e-06,2.03301,0.524031,774.369,0.247294,0.183587,OK,YUAN_STRONG_REDUCTION,0.0346838,
R1100,PAB,0.28,-0.4,1,107 (c_axis),BRI,0.132154,0.910823,0.120466,4.65416,1.30905e-05,2.64618,0.927046,1334.65,0.120466,0.201966,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0381559,
R1100,PAB,0.28,-0.4,1,107 (c_axis),ISO_z2,0.132154,0.910823,0.120466,4.65416,1.30905e-05,2.64618,0.927046,1334.65,0.0907305,0.268157,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0426747,
R1100,PAB,0.28,-0.4,1,107 (c_axis),ISO_z4,0.132154,0.910823,0.120466,4.65416,1.30905e-05,2.64618,0.927046,1334.65,0.068335,0.35604,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0477285,
R1100,PAB,0.28,-0.4,1,107 (c_axis),ISO_z8,0.132154,0.910823,0.120466,4.65416,1.30905e-05,2.64618,0.927046,1334.65,0.0387635,0.627652,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0597025,
R1100,PAB,0.28,-0.4,1,107 (c_axis),BRI+BASAL,0.132154,0.910823,0.120466,4.65416,1.30905e-05,2.64618,0.927046,1334.65,0.120479,0.201944,BELOW_SITE_THRESHOLD,YUAN_STRONG_REDUCTION,0.0381518,
A600,PAB,0.28,-0.4,0.75,64 (a_axis),BRI,0.0410873,0.00277059,0.313951,0.0106006,2.36554e-07,0.0928072,0.00562183,13.027,0.313951,7.19856,OK,,0.88282,
A600,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z2,0.0410873,0.00277059,0.313951,0.0106006,2.36554e-07,0.0928072,0.00562183,13.027,0.288691,7.82844,OK,,0.829294,
A600,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z4,0.0410873,0.00277059,0.313951,0.0106006,2.36554e-07,0.0928072,0.00562183,13.027,0.265463,8.51342,OK,,0.779011,
A600,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z8,0.0410873,0.00277059,0.313951,0.0106006,2.36554e-07,0.0928072,0.00562183,13.027,0.224464,10.0684,OK,,0.687404,
A600,PAB,0.28,-0.4,0.75,64 (a_axis),BRI+BASAL,0.0410873,0.00277059,0.313951,0.0106006,2.36554e-07,0.0928072,0.00562183,13.027,0.313952,7.19856,OK,,0.882821,
R500,PAB,0.28,-0.4,0.75,64 (a_axis),BRI,0.0562724,0.0217252,0.421885,0.0831884,3.92314e-07,0.166951,0.0160956,36.1619,0.421885,8.93609,OK,,1.09591,
R500,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z2,0.0562724,0.0217252,0.421885,0.0831884,3.92314e-07,0.166951,0.0160956,36.1619,0.375748,10.0333,OK,,1.06286,
R500,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z4,0.0562724,0.0217252,0.421885,0.0831884,3.92314e-07,0.166951,0.0160956,36.1619,0.334656,11.2653,OK,,1.03082,
R500,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z8,0.0562724,0.0217252,0.421885,0.0831884,3.92314e-07,0.166951,0.0160956,36.1619,0.265463,14.2016,OK,,0.969591,
R500,PAB,0.28,-0.4,0.75,64 (a_axis),BRI+BASAL,0.0562724,0.0217252,0.421885,0.0831884,3.92314e-07,0.166951,0.0160956,36.1619,0.421885,8.93608,OK,,1.09591,
R600,PAB,0.28,-0.4,0.75,64 (a_axis),BRI,0.0706069,0.111668,0.480743,0.427728,7.39511e-07,0.318606,0.0441792,92.7287,0.480743,8.15405,OK,,1,
R600,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z2,0.0706069,0.111668,0.480743,0.427728,7.39511e-07,0.318606,0.0441792,92.7287,0.415259,9.43989,OK,,1,
R600,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z4,0.0706069,0.111668,0.480743,0.427728,7.39511e-07,0.318606,0.0441792,92.7287,0.358695,10.9285,OK,,1,
R600,PAB,0.28,-0.4,0.75,64 (a_axis),ISO_z8,0.0706069,0.111668,0.480743,0.427728,7.39511e-07,0.318606,0.0441792,92.7287,0.267632,14.647,OK,,1,
R600,PAB,0.28,-0.4,0.75,64 (a_axis),BRI+BASAL,0.0706069,0.111668,0.480743,0.427728,7.39511e-07,0.318606,0.0441792,92.7287,0.480744,8.15404,OK,,1,
R800,PAB,0.28,-0.4,0.75,64 (a_axis),BRI,0.0782537,0.290142,0.425818,1.11155,1.52184e-06,0.583431,0.106148,190.873,0.425818,4.72033,OK,,0.578894,
